"Benchmark","Mode","Cnt","Score","Error","Units"
"com.mitchellbosecke.benchmark.Freemarker","thrpt",50,79777.643,2528.435","ops/s"
"com.mitchellbosecke.benchmark.Handlebars","thrpt",50,69814.783,293.491","ops/s"
"com.mitchellbosecke.benchmark.HtmlFlow","thrpt",50,317591.249,1374.781","ops/s"
"com.mitchellbosecke.benchmark.J2Html","thrpt",50,8737.304,46.799","ops/s"
"com.mitchellbosecke.benchmark.KotlinHtml","thrpt",50,8256.646,101.842","ops/s"
"com.mitchellbosecke.benchmark.Mustache","thrpt",50,109365.267,508.499","ops/s"
"com.mitchellbosecke.benchmark.Pebble","thrpt",50,103539.496,1056.308","ops/s"
"com.mitchellbosecke.benchmark.Rocker","thrpt",50,195278.054,3729.749","ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf","thrpt",50,23973.411,153.000","ops/s"
"com.mitchellbosecke.benchmark.Trimou","thrpt",50,96080.406,2997.417","ops/s"
"com.mitchellbosecke.benchmark.Velocity","thrpt",50,61177.328,339.001","ops/s"
