"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker","thrpt",1,4,114.543700,0.672713,"ops/ms"
"com.mitchellbosecke.benchmark.Handlebars","thrpt",1,4,63.936114,1.754404,"ops/ms"
"com.mitchellbosecke.benchmark.HtmlFlow","thrpt",1,4,409.302539,8.904292,"ops/ms"
"com.mitchellbosecke.benchmark.J2Html","thrpt",1,4,16.942297,0.094563,"ops/ms"
"com.mitchellbosecke.benchmark.JStachio","thrpt",1,4,338.079573,10.067618,"ops/ms"
"com.mitchellbosecke.benchmark.KotlinHtml","thrpt",1,4,28.032091,0.492423,"ops/ms"
"com.mitchellbosecke.benchmark.Mustache","thrpt",1,4,174.704132,1.634556,"ops/ms"
"com.mitchellbosecke.benchmark.Pebble","thrpt",1,4,144.359881,1.511051,"ops/ms"
"com.mitchellbosecke.benchmark.Rocker","thrpt",1,4,321.228641,13.721834,"ops/ms"
"com.mitchellbosecke.benchmark.Thymeleaf","thrpt",1,4,25.464303,0.887552,"ops/ms"
"com.mitchellbosecke.benchmark.Trimou","thrpt",1,4,158.153291,1.438218,"ops/ms"
"com.mitchellbosecke.benchmark.Velocity","thrpt",1,4,105.599835,0.913810,"ops/ms"
