"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker.presentations","thrpt",1,4,110.484655,1.132925,"ops/ms"
"com.mitchellbosecke.benchmark.Handlebars.presentations","thrpt",1,4,61.678161,1.233518,"ops/ms"
"com.mitchellbosecke.benchmark.HtmlFlow.presentations","thrpt",1,4,400.451627,1.411361,"ops/ms"
"com.mitchellbosecke.benchmark.J2Html.presentations","thrpt",1,4,16.502025,0.330277,"ops/ms"
"com.mitchellbosecke.benchmark.JStachio.presentations","thrpt",1,4,321.129176,8.338003,"ops/ms"
"com.mitchellbosecke.benchmark.KotlinHtml.presentations","thrpt",1,4,27.634567,0.341241,"ops/ms"
"com.mitchellbosecke.benchmark.Mustache.presentations","thrpt",1,4,170.719531,3.725403,"ops/ms"
"com.mitchellbosecke.benchmark.Pebble.presentations","thrpt",1,4,141.020281,1.968157,"ops/ms"
"com.mitchellbosecke.benchmark.Rocker.presentations","thrpt",1,4,325.772744,2.874300,"ops/ms"
"com.mitchellbosecke.benchmark.Thymeleaf.presentations","thrpt",1,4,25.536035,1.149769,"ops/ms"
"com.mitchellbosecke.benchmark.Trimou.presentations","thrpt",1,4,157.349758,9.010502,"ops/ms"
"com.mitchellbosecke.benchmark.Velocity.presentations","thrpt",1,4,105.481901,1.621489,"ops/ms"
