"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker","thrpt",1,4,22.218138,0.883161,"ops/ms"
"com.mitchellbosecke.benchmark.Handlebars","thrpt",1,4,18.477566,0.122995,"ops/ms"
"com.mitchellbosecke.benchmark.HtmlFlow","thrpt",1,4,72.286114,2.782149,"ops/ms"
"com.mitchellbosecke.benchmark.J2Html","thrpt",1,4,8.142640,0.376123,"ops/ms"
"com.mitchellbosecke.benchmark.JStachio","thrpt",1,4,150.218552,1.266336,"ops/ms"
"com.mitchellbosecke.benchmark.KotlinHtml","thrpt",1,4,36.290496,0.308509,"ops/ms"
"com.mitchellbosecke.benchmark.Mustache","thrpt",1,4,30.486808,0.440392,"ops/ms"
"com.mitchellbosecke.benchmark.Pebble","thrpt",1,4,41.098920,0.246528,"ops/ms"
"com.mitchellbosecke.benchmark.Rocker","thrpt",1,4,88.955193,2.934147,"ops/ms"
"com.mitchellbosecke.benchmark.Thymeleaf","thrpt",1,4,4.142648,0.037073,"ops/ms"
"com.mitchellbosecke.benchmark.Trimou","thrpt",1,4,35.981487,0.136459,"ops/ms"
"com.mitchellbosecke.benchmark.Velocity","thrpt",1,4,26.473458,1.239862,"ops/ms"
