"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker","thrpt",1,4,22.062270,0.116516,"ops/ms"
"com.mitchellbosecke.benchmark.Handlebars","thrpt",1,4,18.188454,0.151885,"ops/ms"
"com.mitchellbosecke.benchmark.HtmlFlow","thrpt",1,4,71.742195,0.597757,"ops/ms"
"com.mitchellbosecke.benchmark.J2Html","thrpt",1,4,8.233955,0.205302,"ops/ms"
"com.mitchellbosecke.benchmark.JStachio","thrpt",1,4,149.986272,1.991379,"ops/ms"
"com.mitchellbosecke.benchmark.KotlinHtml","thrpt",1,4,35.129527,0.154550,"ops/ms"
"com.mitchellbosecke.benchmark.Mustache","thrpt",1,4,31.106174,0.383994,"ops/ms"
"com.mitchellbosecke.benchmark.Pebble","thrpt",1,4,41.209817,0.303466,"ops/ms"
"com.mitchellbosecke.benchmark.Rocker","thrpt",1,4,95.367346,5.028542,"ops/ms"
"com.mitchellbosecke.benchmark.Thymeleaf","thrpt",1,4,4.212999,0.034921,"ops/ms"
"com.mitchellbosecke.benchmark.Trimou","thrpt",1,4,36.707909,0.502231,"ops/ms"
"com.mitchellbosecke.benchmark.Velocity","thrpt",1,4,26.292081,0.263303,"ops/ms"
